Gene	Gene name	Cancer	High	Medium	Low	Not detected	prognostic - favorable	unprognostic - favorable	prognostic - unfavorable	unprognostic - unfavorable
ENSG00000011114	BTBD7	liver cancer	1.0	2.0	3.0	5.0				0.01666
ENSG00000011132	APBA3	liver cancer	0.0	1.0	6.0	5.0				0.06639
ENSG00000011143	MKS1	liver cancer	3.0	3.0	2.0	4.0				0.007057
ENSG00000011198	ABHD5	liver cancer	0.0	0.0	0.0	12.0				0.06128
ENSG00000011243	AKAP8L	liver cancer	7.0	3.0	2.0	0.0				0.01384
ENSG00000011258	MBTD1	liver cancer	0.0	6.0	4.0	2.0		0.1478		
ENSG00000011260	UTP18	liver cancer	0.0	7.0	2.0	1.0			0.0001994	
ENSG00000011275	RNF216	liver cancer	2.0	5.0	3.0	1.0			0.0002259	
ENSG00000011295	TTC19	liver cancer	9.0	3.0	0.0	0.0		0.01056		
ENSG00000011304	PTBP1	liver cancer	6.0	2.0	0.0	3.0			0.000271	
ENSG00000011332	DPF1	liver cancer	0.0	5.0	4.0	3.0				0.0001288
ENSG00000011347	SYT7	liver cancer	0.0	0.0	1.0	11.0		0.04374		
ENSG00000011376	LARS2	liver cancer	0.0	3.0	3.0	6.0				0.002207
ENSG00000011405	PIK3C2A	liver cancer	5.0	7.0	0.0	0.0				0.02468
ENSG00000011422	PLAUR	liver cancer	0.0	0.0	0.0	12.0				0.002185
ENSG00000011426	ANLN	liver cancer	0.0	6.0	3.0	3.0			5.97e-07	
ENSG00000011451	WIZ	liver cancer	7.0	5.0	0.0	0.0				0.009735
ENSG00000011454	RABGAP1	liver cancer	0.0	4.0	1.0	7.0				0.1535
ENSG00000011465	DCN	liver cancer	1.0	0.0	1.0	7.0		0.01012		
ENSG00000011478	QPCTL	liver cancer	1.0	1.0	1.0	9.0				0.008407
ENSG00000011485	PPP5C	liver cancer	7.0	5.0	0.0	0.0			3.451e-06	
ENSG00000011523	CEP68	liver cancer	0.0	4.0	7.0	1.0				0.004839
ENSG00000011566	MAP4K3	liver cancer	0.0	0.0	1.0	11.0				0.01054
ENSG00000011590	ZBTB32	liver cancer	0.0	0.0	0.0	11.0		0.259		
ENSG00000011600	TYROBP	liver cancer	0.0	0.0	0.0	12.0				0.05267
ENSG00000011638	LDAF1	liver cancer	0.0	0.0	3.0	9.0				0.3318
ENSG00000011677	GABRA3	liver cancer	0.0	0.0	0.0	12.0				2.338e-06
ENSG00000012048	BRCA1	liver cancer	0.0	1.0	10.0	1.0				0.001564
ENSG00000012061	ERCC1	liver cancer	0.0	4.0	6.0	2.0			0.0009686	
ENSG00000012124	CD22	liver cancer	0.0	0.0	0.0	10.0				0.3791
ENSG00000012171	SEMA3B	liver cancer	6.0	6.0	0.0	0.0		0.1893		
ENSG00000012174	MBTPS2	liver cancer	0.0	8.0	2.0	1.0				0.1851
ENSG00000012211	PRICKLE3	liver cancer	0.0	6.0	1.0	5.0				0.0253
ENSG00000012223	LTF	liver cancer	0.0	0.0	0.0	11.0		0.006434		
ENSG00000012232	EXTL3	liver cancer	0.0	6.0	4.0	2.0			1.143e-05	
ENSG00000012660	ELOVL5	liver cancer	2.0	5.0	2.0	1.0				0.3065
ENSG00000012779	ALOX5	liver cancer	0.0	0.0	1.0	8.0				0.05315
ENSG00000012822	CALCOCO1	liver cancer	2.0	7.0	2.0	1.0				0.1297
ENSG00000012963	UBR7	liver cancer	0.0	2.0	0.0	10.0			8.118e-05	
ENSG00000012983	MAP4K5	liver cancer	0.0	0.0	3.0	9.0				0.00858
ENSG00000013016	EHD3	liver cancer	0.0	0.0	0.0	11.0		0.05488		
ENSG00000013275	PSMC4	liver cancer	2.0	7.0	0.0	0.0				0.001293
ENSG00000013293	SLC7A14	liver cancer	0.0	0.0	0.0	11.0				0.07465
ENSG00000013297	CLDN11	liver cancer	0.0	0.0	0.0	12.0				0.05245
ENSG00000013306	SLC25A39	liver cancer	0.0	0.0	0.0	11.0			5.897e-05	
ENSG00000013364	MVP	liver cancer	0.0	6.0	0.0	5.0				0.01112
ENSG00000013374	NUB1	liver cancer	1.0	4.0	5.0	2.0			0.0008696	
ENSG00000013375	PGM3	liver cancer	1.0	0.0	3.0	8.0				0.001087
